Feature,Importance
EXT_SOURCE_3,0.31925002551260845
EXT_SOURCE_2,0.30636617303440844
EXT_SOURCE_1,0.08957150467613942
taux_refus,0.036849416236996786
DAYS_BIRTH,0.03576249761493304
AMT_GOODS_PRICE,0.030559570365452482
montant_paiement_moyen,0.021573583321042783
AMT_ANNUITY,0.019280630065147263
DAYS_EMPLOYED,0.01615496951669999
AMT_CREDIT,0.015579929284197849
montant_en_retard,0.01527348748324011
FLAG_DOCUMENT_3,0.010545495821222326
OWN_CAR_AGE,0.009823931193067419
retard_moyen,0.008779725764320422
REG_CITY_NOT_LIVE_CITY,0.004754362112281511
REGION_RATING_CLIENT_W_CITY,0.004519143820313502
DAYS_ID_PUBLISH,0.004393396255782564
FLAG_EMP_PHONE,0.0042918600872838344
nb_paiements,0.0037808298250821214
DEF_30_CNT_SOCIAL_CIRCLE,0.003727679535377119
